Account address,Show boosts,Notify on new posts,Languages
LukaszOlejnik@mastodon.social,true,false,
thegrugq@infosec.exchange,true,false,
robertauger,true,false,
kravietz@agora.echelon.pl,true,false,
sirdarckcat@infosec.exchange,true,false,
DJWhite@mastodon.world,true,false,
yeswehack@infosec.exchange,true,false,
_coeus@infosec.exchange,true,false,
percepticon@ioc.exchange,true,false,
0xmachos@chaos.social,true,false,
jimmychappell@infosec.exchange,true,false,
davidstalane@mastodon.social,true,false,
_coeus@ioc.exchange,true,false,
halvarflake@mastodon.social,true,false,
liampomfret@mastodon.social,true,false,
disconnect3d@infosec.exchange,true,false,
Helma@Mastodon.social,true,false,
dcuthbert@noc.social,true,false,
jrt@chaos.social,true,false,
eckes@chaos.social,true,false,
janterpstra@mastodon.social,true,false,
maitai@infosec.exchange,true,false,
ljrk@todon.eu,true,false,
_marklech_@infosec.exchange,true,false,
farah_hawaa,true,false,
terjanq@infosec.exchange,true,false,
thypon@mastodon.social,true,false,
cybersoldier@infosec.exchange,true,false,
tek@todon.eu,true,false,
ukuellmar@ioc.exchange,true,false,
psiinon@infosec.exchange,true,false,
maldr0id@infosec.exchange,true,false,
sundhaug92@mastodon.social,true,false,
disintegrate@infosec.exchange,true,false,
tomchop@infosec.exchange,true,false,
iglocska@infosec.exchange,true,false,
freddyb@security.plumbing,true,false,
securestep9@infosec.exchange,true,false,
charlieromeo@infosec.exchange,true,false,
GlennPegden@infosec.exchange,true,false,
nono2357@infosec.exchange,true,false,
Rajiv@infosec.exchange,true,false,
hackndo@infosec.exchange,true,false,
jaylagorio@infosec.exchange,true,false,
kennwhite@mastodon.social,true,false,
siggib@infosec.exchange,true,false,
lawsecnet@infosec.exchange,true,false,
brownglock@infosec.exchange,true,false,
catileptic@chaos.social,true,false,
agent0x0@infosec.exchange,true,false,
lordsaibat@mastodon.social,true,false,
Weld@infosec.social,true,false,
steve@tooty.org,true,false,
imlordofthering@infosec.exchange,true,false,
bento@infosec.exchange,true,false,
sphynx@infosec.exchange,true,false,
magnusmccune@infosecexchange,true,false,
dmnk@infosec.exchange,true,false,
sharedsecurity@infosec.exchange,true,false,
gynvael@infosec.exchange,true,false,
ganofins@infosec.exchange,true,false,
ChrisJohnRiley@infosec.exchange,true,false,
ewj@hachyderm.io,true,false,
bknudtson@vmst.io,true,false,
bruceF0rte@mastodon.lol,true,false,
angryspacelizard@infosec.exchange,true,false,
