Account,Show boosts,Notify on new posts,Languages
aeryn_thrace@mastodon.social,True,False,
allysonlister@fediscience.org,True,False,
antikemagie@archaeo.social,True,False,
askopenscience@scicomm.xyz,True,False,
Bibliothecaris@social.edu.nl,True,False,
brembs@mastodon.social,True,False,
cark@social.tchncs.de,True,False,
Centre_Mersenne@mastodon.online,True,False,
CharlesO@mas.to,True,False,
chartgerink@akademienl.social,True,False,
christof@fedihum.org,True,False,
clementaubert@lipn.info,True,False,
cnsyoung@fediscience.org,True,False,
da5nsy@social.coop,True,False,
danielskatz@fosstodon.org,True,False,
datacite@openbiblio.social,True,False,
Datendealerin@fediscience.org,True,False,
david_colquhoun@mstdn.social,True,False,
dcanalitica@mastodon.social,True,False,
dstephenlindsay@mastodon.social,True,False,
dylanvanassche@fosstodon.org,True,False,
dylanwre@scicomm.xyz,True,False,
egonw@social.edu.nl,True,False,
EJWagenmakers@mastodon.social,True,False,
ElenLeFoll@fediscience.org,True,False,
ElineVG@fosstodon.org,True,False,
EMarinus@mstdn.social,True,False,
enroweb@qoto.org,True,False,
EuroMathSoc@mathstodon.xyz,True,False,
EvoMRI@mastodon.social,True,False,
flavioazevedo@mastodon.social,True,False,
floe@hci.social,True,False,
FORRT@mastodon.social,True,False,
forschungsdateninfo@openbiblio.social,True,False,
FrederikAust@fediscience.org,True,False,
fresseng@fediscience.org,True,False,
fuzzyleapfrog@chaos.social,True,False,
GermanRepro@mastodon.world,True,False,
gin@scicomm.xyz,True,False,
GuidoScherp@openbiblio.social,True,False,
hardyschwamm@mastodon.ie,True,False,
hauschke@mastodon.social,True,False,
HeidiSeibold@fosstodon.org,True,False,
HelmholtzOpenScienceOffice@helmholtz.social,True,False,
hildabast@mastodon.online,True,False,
HughShanahan@mastodon.ie,True,False,
hye@glammr.us,True,False,
ignactro@mastodon.social,True,False,
improvingpsych@fediscience.org,True,False,
jcolomb@nerdculture.de,True,False,
JeffreyRStevens@fediscience.org,True,False,
jesper@tech.lgbt,True,False,
joerglohrer@reliverse.social,True,False,
joeroe@archaeo.social,True,False,
JohannesBreuer@fediscience.org,True,False,
joshmoore@fediscience.org,True,False,
jscaux@scipost.social,True,False,
juancommander@mastodon.social,True,False,
julsraemy@hcommons.social,True,False,
kbroman@fosstodon.org,True,False,
kevinmoerman@fosstodon.org,True,False,
kirk@social.coop,True,False,
ktoddbrown@social.coop,True,False,
kuf@mastodon.social,True,False,
LeaMariaFer@openbiblio.social,True,False,
leonido@chaos.social,True,False,
lgatto@fosstodon.org,True,False,
lnnrtwttkhn@fediscience.org,True,False,
LudwigHuelk@mastodon.social,True,False,
Luke_Drury@mastodon.dias.ie,True,False,
MalikaIhle@scicomm.xyz,True,False,
marind@qoto.org,True,False,
MarkHanson@fediscience.org,True,False,
MarkRubin@fediscience.org,True,False,
matherion@mastodon.nl,True,False,
meliimming@akademienl.social,True,False,
mob@akademienl.social,True,False,
mostlyphysics@fediscience.org,True,False,
MsPhelps@akademienl.social,True,False,
ndporter@sciences.social,True,False,
nicebread@scicomm.xyz,True,False,
oberman@mastodon.social,True,False,
OpenScienceNL@akademienl.social,True,False,
owlyph@cosocial.ca,True,False,
paul4kant@scicomm.xyz,True,False,
pcirr@spore.social,True,False,
petersuber@fediscience.org,True,False,
philipncohen@mastodon.social,True,False,
prereview@mas.to,True,False,
PublicKnowledgeProject@mastodon.social,True,False,
re3data@openbiblio.social,True,False,
ReproducibiliTeaGlobal@scicomm.xyz,True,False,
researchsoft@fosstodon.org,True,False,
rmounce@mastodon.social,True,False,
rmrahal@nerdculture.de,True,False,
rob_models@mas.to,True,False,
rupdecat@fediscience.org,True,False,
saraemilyburke@fosstodon.org,True,False,
SarahHLib@mastodonapp.uk,True,False,
schochastics@fosstodon.org,True,False,
smirandafield@akademienl.social,True,False,
SusannAuer@mastodon.green,True,False,
thofel@fediscience.org,True,False,
Tontrug@mastodon.social,True,False,
tullney@fosstodon.org,True,False,
twm@mastodon.sdf.org,True,False,
uwuttke@fedihum.org,True,False,
veit@mastodon.social,True,False,
wendympatterson@mas.to,True,False,
zuphilip@openbiblio.social,True,False,
